track,card_id,race_date,breed,name,weight,age,sex,meds_and_equip,jockey,dollar_odds,program_number,post_position,claim_price,start_position,finish_position,finish_time,speed_rating,trainer,owner,win_payoff,place_payoff,show_payoff,weather,distance,race_type,track_conditions
WO ,D,2015-06-20 00:00:00,TB,Madam Premier,119,4,M,Lb,S   Ryan,7.2,1.0,1,9500,5.0,5.0,0.0,44.0,O'Keefe Thomas,Emily Anne Walker,0.0,0.0,0.0,Cloudy,900.0,Claiming,FT
WO ,D,2015-07-19 00:00:00,TB,Notion Sonet,118,3,C,L,L   Contreras,12.1,4.0,4,0,10.0,4.0,0.0,96.0,Carroll Josie,Ivan Dalos,0.0,0.0,0.0,Cloudy,650.0,Allowance,FT
WO ,D,2015-07-25 00:00:00,TB,Big Red Bugsy,121,5,G,L,S R Bahen,24.75,6.0,6,20000,10.0,5.0,0.0,83.0,Fournier Mark,"Carruthers, Carruthers, Carruthers, Carruthers, Beattie, Beattie et al.",0.0,0.0,0.0,Cloudy,700.0,Claiming,FT
WO ,D,2015-08-14 00:00:00,TB,Lillz Pearl,121,5,G,Lb,J   McAleney,3.8,3.0,3,0,7.0,2.0,0.0,88.0,Singh Ricky,Ricky Singh,0.0,5.7,3.3,Clear,500.0,Allowance,FT
WO ,D,2015-08-29 00:00:00,TB,Sweet Rose,121,4,F,,L   Contreras,2.95,3.0,3,0,4.0,3.0,0.0,86.0,Attard Sid C,Stronach Stables,0.0,0.0,3.1,Cloudy,500.0,Allowance,FT
WO ,D,2015-09-05 00:00:00,TB,Conquest Panthera,121,4,G,L,R M Hernandez,3.3,14.0,11,0,2.0,1.0,0.0,96.0,Casse Mark E,"Conquest Stables, LLC",8.6,5.1,4.1,Cloudy,650.0,Allowance,GD
WO ,D,2015-09-06 00:00:00,TB,Awsome Moi,123,4,G,L,E   Wilson,19.4,10.0,10,0,10.0,10.0,0.0,61.0,Miller Blair A,Maplehaven Equestrian Center,0.0,0.0,0.0,Cloudy,600.0,Maiden Special Weight,FM
WO ,D,2015-09-30 00:00:00,TB,True Executive,119,7,G,Lbf,R M Hernandez,18.45,4.0,3,15000,9.0,10.0,0.0,38.0,Katryan Ken J,KJK Racing Inc,0.0,0.0,0.0,Cloudy,500.0,Claiming,FT
WO ,D,2015-10-02 00:00:00,TB,Conquest Mystique,119,3,C,L,R M Hernandez,1.5,1.0,1,0,3.0,3.0,0.0,82.0,Casse Mark E,"Conquest Stables, LLC",0.0,0.0,3.1,Cloudy,600.0,Maiden Special Weight,FM
WO ,D,2015-10-03 00:00:00,TB,Hardcastle,121,7,G,Lb,S   Singh,61.15,2.0,2,0,2.0,5.0,0.0,82.0,Marrocco Jason,Jason Marrocco,0.0,0.0,0.0,Clear,500.0,Allowance,FT
